Date,Open,High,Low,Close,Adj Close,Volume
2009-08-14,21562.457031,21944.093750,21562.457031,21753.275391,21753.275391,1859854
2009-08-17,21562.457031,21753.275391,21371.638672,21371.638672,21371.638672,1631888
2009-08-18,20990.001953,21371.638672,20990.001953,21180.820313,21180.820313,2431234
2009-08-19,21562.457031,21562.457031,20990.001953,21180.820313,21180.820313,1885007
2009-08-20,21371.638672,21371.638672,20990.001953,21180.820313,21180.820313,1514865
2009-08-21,21371.638672,22134.912109,21371.638672,21371.638672,21371.638672,3784278
2009-08-24,21753.275391,21753.275391,21371.638672,21562.457031,21562.457031,1662232
2009-08-25,21562.457031,21562.457031,21180.820313,21180.820313,21180.820313,1513162
2009-08-26,21371.638672,21562.457031,21180.820313,21371.638672,21371.638672,1352384
2009-08-27,21371.638672,21371.638672,21180.820313,21371.638672,21371.638672,1411992
2009-08-28,21562.457031,21562.457031,21371.638672,21562.457031,21562.457031,1674728
2009-08-31,21944.093750,21944.093750,21562.457031,21944.093750,21944.093750,2291023
2009-09-01,21562.457031,21944.093750,21562.457031,21753.275391,21753.275391,2219569
2009-09-02,null,null,null,null,null,null
2009-09-03,21371.638672,21562.457031,20799.183594,21371.638672,21371.638672,2826664
2009-09-04,21371.638672,21371.638672,20799.183594,20799.183594,20799.183594,2659752
2009-09-07,20226.728516,20799.183594,19845.093750,20226.728516,20226.728516,2499914
2009-09-08,20608.365234,20608.365234,20226.728516,20417.546875,20417.546875,1800923
2009-09-09,20417.546875,20608.365234,20226.728516,20417.546875,20417.546875,1788765
2009-09-10,20226.728516,20417.546875,20226.728516,20226.728516,20226.728516,1080212
2009-09-11,20226.728516,20417.546875,20035.912109,20226.728516,20226.728516,1091268
2009-09-14,20226.728516,20417.546875,20035.912109,20226.728516,20226.728516,1541958
2009-09-15,20417.546875,20417.546875,20035.912109,20035.912109,20035.912109,1905001
2009-09-16,20990.001953,20990.001953,20990.001953,20990.001953,20990.001953,2305277
2009-09-17,21944.093750,21944.093750,20608.365234,21371.638672,21371.638672,5752958
2009-09-18,20990.001953,21562.457031,20608.365234,21562.457031,21562.457031,2227246
2009-09-21,21562.457031,21562.457031,20990.001953,20990.001953,20990.001953,1996608
2009-09-22,20608.365234,20990.001953,20608.365234,20608.365234,20608.365234,1726453
2009-09-23,20990.001953,21371.638672,20799.183594,20799.183594,20799.183594,1986048
2009-09-24,20608.365234,20799.183594,20417.546875,20417.546875,20417.546875,1419330
2009-09-25,20417.546875,21371.638672,20226.728516,21180.820313,21180.820313,2445096
2009-09-28,21371.638672,21371.638672,20799.183594,20799.183594,20799.183594,1471237
2009-09-29,20990.001953,20990.001953,20417.546875,20608.365234,20608.365234,1966028
2009-09-30,20608.365234,20799.183594,20226.728516,20417.546875,20417.546875,1865645
2009-10-01,20417.546875,20417.546875,20035.912109,20035.912109,20035.912109,2293224
2009-10-02,19654.275391,19654.275391,19081.820313,19463.457031,19463.457031,3710596
2009-10-05,19654.275391,19654.275391,19081.820313,19463.457031,19463.457031,1588863
2009-10-06,19654.275391,19654.275391,19272.638672,19272.638672,19272.638672,1207924
2009-10-07,19463.457031,19654.275391,19272.638672,19463.457031,19463.457031,1563208
2009-10-08,19654.275391,19654.275391,19272.638672,19463.457031,19463.457031,1175461
2009-10-09,19654.275391,19845.093750,19463.457031,19654.275391,19654.275391,2082761
2009-10-12,19845.093750,20226.728516,19654.275391,20226.728516,20226.728516,1989113
2009-10-13,20226.728516,20226.728516,19463.457031,19845.093750,19845.093750,1345807
2009-10-14,19654.275391,20799.183594,19654.275391,20799.183594,20799.183594,3561262
2009-10-15,21753.275391,21753.275391,21371.638672,21753.275391,21753.275391,8852139
2009-10-16,21944.093750,22516.548828,21562.457031,21562.457031,21562.457031,5868985
2009-10-19,20990.001953,21562.457031,20799.183594,20990.001953,20990.001953,2659805
2009-10-20,21180.820313,21371.638672,20799.183594,20799.183594,20799.183594,2383022
2009-10-21,20799.183594,20799.183594,20608.365234,20608.365234,20608.365234,2720935
2009-10-22,20799.183594,20990.001953,20608.365234,20990.001953,20990.001953,2267571
2009-10-23,21180.820313,21944.093750,20990.001953,21562.457031,21562.457031,10340308
2009-10-26,21753.275391,21944.093750,20799.183594,20990.001953,20990.001953,2963052
2009-10-27,20226.728516,20799.183594,20035.912109,20226.728516,20226.728516,4176954
2009-10-28,20608.365234,20608.365234,20035.912109,20226.728516,20226.728516,1634062
2009-10-29,19654.275391,20035.912109,19272.638672,19463.457031,19463.457031,9142337
2009-10-30,20035.912109,20226.728516,19463.457031,19845.093750,19845.093750,3413715
2009-11-02,19845.093750,20226.728516,19272.638672,20226.728516,20226.728516,5615158
2009-11-03,20035.912109,20226.728516,19272.638672,19654.275391,19654.275391,3643648
2009-11-04,19845.093750,20035.912109,19463.457031,19654.275391,19654.275391,2065074
2009-11-05,19654.275391,20417.546875,19654.275391,20226.728516,20226.728516,2613189
2009-11-06,20226.728516,20417.546875,19654.275391,19654.275391,19654.275391,2373746
2009-11-09,19463.457031,19845.093750,19272.638672,19272.638672,19272.638672,3126084
2009-11-10,19463.457031,19654.275391,18929.166016,18929.166016,18929.166016,2131080
2009-11-11,19081.820313,19272.638672,18891.001953,19081.820313,19081.820313,1723650
2009-11-12,19272.638672,19463.457031,19005.492188,19272.638672,19272.638672,2485290
2009-11-13,19081.820313,19081.820313,18929.166016,19005.492188,19005.492188,1843081
2009-11-16,18891.001953,19081.820313,18891.001953,18929.166016,18929.166016,2017938
2009-11-17,18852.837891,18891.001953,18662.019531,18662.019531,18662.019531,1576861
2009-11-18,18509.365234,18623.857422,18356.710938,18433.039063,18433.039063,1405336
2009-11-19,18471.201172,18814.673828,18318.546875,18662.019531,18662.019531,1397606
2009-11-20,18662.019531,18662.019531,18394.875000,18394.875000,18394.875000,1532998
2009-11-23,18318.546875,18356.710938,18013.238281,18013.238281,18013.238281,2020688
2009-11-24,17936.910156,17975.074219,17669.765625,17669.765625,17669.765625,1532867
2009-11-25,17555.275391,17555.275391,16792.001953,16792.001953,16792.001953,3457761
2009-11-26,16219.546875,16372.202148,15952.401367,15952.401367,15952.401367,4873559
2009-11-27,15189.128906,16715.673828,15189.128906,16715.673828,16715.673828,2483196
2009-11-30,17097.310547,17517.111328,16982.820313,17517.111328,17517.111328,1875050
2009-12-01,18318.546875,18356.710938,18127.728516,18356.710938,18356.710938,2471851
2009-12-02,17936.910156,18662.019531,17440.783203,17936.910156,17936.910156,2086377
2009-12-03,17555.275391,18127.728516,17440.783203,17936.910156,17936.910156,1272646
2009-12-04,18013.238281,18013.238281,17555.275391,17631.601563,17631.601563,699770
2009-12-07,17402.619141,17669.765625,17402.619141,17555.275391,17555.275391,723090
2009-12-08,17555.275391,17555.275391,16982.820313,17059.146484,17059.146484,1407144
2009-12-09,16448.529297,16563.019531,16295.874023,16410.365234,16410.365234,2267126
2009-12-10,16639.347656,16639.347656,16295.874023,16295.874023,16295.874023,1396951
2009-12-11,16028.729492,16219.546875,15532.601563,15570.765625,15570.765625,1963384
2009-12-14,16334.038086,16334.038086,15952.401367,16334.038086,16334.038086,1204467
2009-12-15,16334.038086,17135.474609,16219.546875,17135.474609,17135.474609,2559000
2009-12-16,17135.474609,17173.638672,16410.365234,16410.365234,16410.365234,2330880
2009-12-17,16334.038086,17173.638672,16028.729492,16792.001953,16792.001953,1211830
2009-12-18,17173.638672,17631.601563,17173.638672,17631.601563,17631.601563,1892318
2009-12-21,17631.601563,18318.546875,17631.601563,18165.892578,18165.892578,1472155
2009-12-22,17555.275391,18013.238281,17555.275391,17784.255859,17784.255859,1015465
2009-12-23,17784.255859,17784.255859,17555.275391,17631.601563,17631.601563,775810
2009-12-24,17402.619141,17555.275391,17364.457031,17555.275391,17555.275391,1037763
2009-12-25,18318.546875,18318.546875,17936.910156,17936.910156,17936.910156,1796703
2009-12-28,17593.437500,17707.929688,17517.111328,17555.275391,17555.275391,692247
2009-12-29,17173.638672,17746.093750,17173.638672,17249.964844,17249.964844,898309
2009-12-30,17097.310547,17517.111328,17097.310547,17402.619141,17402.619141,545775
2009-12-31,17555.275391,17936.910156,17402.619141,17936.910156,17936.910156,1043186
2010-01-01,null,null,null,null,null,null
2010-01-04,17936.910156,18814.673828,17936.910156,18814.673828,18814.673828,1568607
2010-01-05,19463.457031,19654.275391,18814.673828,19005.492188,19005.492188,2450335
